,Close,Close_Prev,Close_Diff,Open,Open_Prev,Open_Diff,High,High_Prev,High_Diff,Low,Low_Prev,Low_Diff
624934,7.450252532958984,7.429181,-0.2828284535024646,9.449999809265137,7.445629,-21.210272273518243,9.449999809265137,7.445629,-21.210272273518243,9.31999969482422,7.429181,-20.287753839050893
625279,7.410749435424805,7.438863,0.37935927288207266,9.369999885559082,7.429181,-20.713114304433,9.43000030517578,7.438863,-21.11492513404027,9.3100004196167,7.429181,-20.202140020485047
625608,7.410749435424805,7.4417176,0.41788201732294533,9.43000030517578,7.438863,-21.11492513404027,9.479999542236328,7.4417176,-21.50086514762839,9.31999969482422,7.438863,-20.18387291654901
625973,7.402848720550537,7.441892,0.5274108385503828,9.470000267028809,7.4417176,-21.417978724100617,9.470000267028809,7.441892,-21.416135826582337,9.329999923706056,7.4417176,-20.23882437816449
626051,7.426549434661865,7.4385242,0.16124327535026092,9.380000114440918,7.441892,-20.66213159627693,9.479999542236328,7.441892,-21.49902419395403,9.31999969482422,7.4385242,-20.187505474418213
626388,7.426549434661865,7.4422517,0.21143396078859922,9.390000343322754,7.4385242,-20.78249228707038,9.4399995803833,7.4422517,-21.162584607029086,9.300000190734863,7.4385242,-20.015869960664524
626775,7.394948005676269,7.446759,0.7006299195335789,9.43000030517578,7.4422517,-21.07898789571919,9.460000038146973,7.446759,-21.281615286370954,9.380000114440918,7.4422517,-20.658298598271614
626965,7.410749435424805,7.4400287,0.3950913774683318,9.4399995803833,7.446759,-21.114835222952195,9.4399995803833,7.446759,-21.114835222952195,9.329999923706056,7.4400287,-20.256926813621796
627347,7.473954677581787,7.4365363,-0.5006501523317025,9.399999618530272,7.4400287,-20.8507556448898,9.420000076293944,7.4400287,-21.018804594563882,9.3100004196167,7.4365363,-20.123136660294154
627409,7.450252532958984,7.4545727,0.05798655326391332,9.380000114440918,7.4365363,-20.719230049321634,9.460000038146973,7.4545727,-21.199020638983967,9.350000381469728,7.4365363,-20.464855521916878
627760,7.497655868530273,7.4662094,-0.4194171813242206,9.449999809265137,7.4545727,-21.1156314489704,9.449999809265137,7.4662094,-20.992491404063944,9.350000381469728,7.4545727,-20.271953224877635
628128,7.5292582511901855,7.487079,-0.5602026953896577,9.4399995803833,7.4662094,-20.90879509003181,9.5,7.487079,-21.188640594482422,9.359999656677246,7.4662094,-20.232802505555203
628293,7.5845627784729,7.513908,-0.9315615302193557,9.489999771118164,7.487079,-21.105591948375768,9.56999969482422,7.513908,-21.484763333304116,9.399999618530272,7.487079,-20.350218645064103
628632,7.568762302398682,7.5513067,-0.2306265826951627,9.550000190734863,7.513908,-21.320337598704043,9.630000114440918,7.5513067,-21.585600884629475,9.449999809265137,7.513908,-20.487745385704756
628974,7.576662540435791,7.5749874,-0.022109060919997484,9.619999885559082,7.5513067,-21.504087168609324,9.630000114440918,7.5749874,-21.339695519424208,9.529999732971191,7.5513067,-20.762781362701567
629320,7.545060157775879,7.588976,0.5820463677937967,9.619999885559082,7.5749874,-21.257926178667613,9.640000343322754,7.588976,-21.276186347559072,9.529999732971191,7.5749874,-20.514295658460096
629477,7.616164684295654,7.584881,-0.4107560266224149,9.609999656677246,7.588976,-21.030424791960556,9.619999885559082,7.588976,-21.11251562732192,9.539999961853027,7.584881,-20.49391132928105
629747,7.600362777709961,7.5980806,-0.030026759325924978,9.550000190734863,7.584881,-20.57716568198547,9.670000076293944,7.5980806,-21.4262608570445,9.529999732971191,7.584881,-20.41048225200039
630060,7.497655868530273,7.607107,1.4598068498276873,9.640000343322754,7.5980806,-21.181738957782404,9.6899995803833,7.607107,-21.495278721418927,9.59000015258789,7.5980806,-20.770797558116456
630271,7.466053009033203,7.5798664,1.5244118964980755,9.600000381469728,7.607107,-20.759303539621705,9.600000381469728,7.607107,-20.759303539621705,9.399999618530272,7.5798664,-19.36312003290378
630740,7.434450626373291,7.5398808,1.418129347932962,9.479999542236328,7.5798664,-20.043599416528345,9.56999969482422,7.5798664,-20.795541786681497,9.380000114440918,7.5398808,-19.617476966172926
631095,7.450252532958984,7.498335,0.6453788173200843,9.510000228881836,7.5398808,-20.71629262778684,9.510000228881836,7.5398808,-20.71629262778684,9.34000015258789,7.498335,-19.71804323187355
631247,7.639866828918457,7.4746222,-2.1629248652568265,9.420000076293944,7.498335,-20.39984263361512,9.539999961853027,7.498335,-21.401101523829613,9.420000076293944,7.4746222,-20.65156911820356
631580,7.829480171203613,7.5241485,-3.8997698483703322,9.449999809265137,7.4746222,-20.903466661714962,9.779999732971191,7.5241485,-23.065964523119437,9.449999809265137,7.4746222,-20.903466661714962
631899,7.971692085266113,7.6419353,-4.136596512111306,9.710000038146973,7.5241485,-22.511344648369676,9.960000038146973,7.6419353,-23.27374177467874,9.710000038146973,7.5241485,-22.511344648369676
632121,7.995392322540283,7.7903337,-2.564709352640782,9.920000076293944,7.6419353,-22.964361998616774,10.130000114440918,7.7903337,-23.096410070537065,9.84000015258789,7.6419353,-22.338056605609545
632395,8.050697326660156,7.909332,-1.755941409429873,10.149999618530272,7.7903337,-23.24794048621042,10.449999809265137,7.909332,-24.312612986452624,10.100000381469728,7.7903337,-22.867985607638776
632825,8.050697326660156,7.997753,-0.6576347513933101,10.140000343322754,7.909332,-21.998702852492453,10.270000457763672,7.997753,-22.12509457811567,10.100000381469728,7.909332,-21.689787130458313
632981,8.374621391296387,8.045928,-3.9248746245911965,10.300000190734863,7.997753,-22.351912667877926,10.300000190734863,8.045928,-21.884195607672467,10.18000030517578,7.997753,-21.43661194937019
633349,8.666942596435547,8.165891,-5.781184047267876,10.5,8.045928,-23.372114272344678,10.890000343322754,8.165891,-25.01478019997035,10.5,8.045928,-23.372114272344678
633625,9.061972618103027,8.3597355,-7.749274454974323,10.760000228881836,8.165891,-24.108824163908604,11.06999969482422,8.3597355,-24.48296549818157,10.649999618530272,8.165891,-23.324967266135307
634003,8.834912300109863,8.638591,-2.222110200508912,11.09000015258789,8.3597355,-24.619158035441256,11.470000267028809,8.638591,-24.685347763109966,11.020000457763672,8.3597355,-24.14033446793456
